项目名称,交易地区,统一代码,项目类型,招标内容,招标人名称,发布类型,建设地点,建设内容及规模,项目总投资,招标方式,行政监督部门,发布单位,招标公告发布日期,招标文件获取时间,投标人资格要求,招标公告链接,变更公告链接,中标候选人名称,中标候选人公示链接,中标人,中标结果公示链接,终止公告链接,公告历史
山西杏花村汾酒厂股份有限公司新建陶坛酒库项目建筑安装工程施工,吕梁市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/22,2026 年 5 月 22 日 18 时 00 分至 2026 年 6 月 12 日 10 时 00 分,001 投标人资格能力要求：   3.1 本次招标要求投标人须具备建设行政主管部门颁发的建筑工程施工总承包一级或   以上资质，有效的营业执照、安全生产许可证，并在人员、设备、资金等方面具有相应的施   工能力，其中：投标人拟派项目经理须具备建筑工程专业一级注册建造师执业资格，具备有   效的安全生产考核合格证（B 类），且未担任其它在施建设工程项目的项目经理；   3.2 投标人近五年具有同类型工程施工业绩；   3.3 单位负责人为同一人或者存在控股、管理关系的不同单位，不得同时对本项目提出   投标申请，否则投标无效；   3.4 投标人、法定代表人和拟派项目经理近三年内无行贿犯罪记录；   3.5 未列入全国建筑市场监管公共服务平台或者本省建筑市场监管公共服务平台建筑   市场主体“黑名单”，未列入“国家企业信用信息公示系统”严重违法失信企业名单，未列   入“信用中国”或“中国执行信息公开网”网站失信被执行人名单；   3.6 本次招标不接受联合体投标。   四、,https://prec.sxzwfw.gov.cn/jyxxgczb/1057340.jhtml,暂无,山西建设投资集团有限公司、中铁三局集团建筑安装工程有限公司、太原市第一建筑工程集团有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064839.jhtml,暂无,暂无,暂无,山西杏花村汾酒厂股份有限公司新建陶坛酒库项目建筑安装工程施工招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1057340.jhtml；山西杏花村汾酒厂股份有限公司新建陶坛酒库项目建筑安装工程施工招标控制价|https://prec.sxzwfw.gov.cn/jyxxgczb/1057339.jhtml
长治市天晚集路等27条路雨污分流改造工程（第二标段）施工项目,长治市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/22,2026年05月22日至2026年06月12日(北京时间)（法定公休日、法定,1、投标人须具有独立法人资格，具有有效的营业执照，具备建设行政主管   部门颁发的市政公用工程施工总承包壹级及其以上资质、有效的安全生产许可证   ，并在人员、设备、资金等方面具有完成总承包的能力；拟派项目负责人须为   本单位注册的具备市政公用工程专业壹级注册建造师执业资格、具备有效的安全   生产考核合格证书，且未担任其他在建工程项目的项目经理。   2、信誉要求：提供自招标公告发布之日起至投标截止时间前“中国裁判文   书网”无行贿犯罪记录查询页面截图（查询投标单位、法定代表人、项目负责   人）；提供自招标公告发布之日起至投标截止时间前在“信用中国”网站中未被   列入失信被执行人、重大税收违法失信主体、严重失信主体名单查询页面截图。   3、财务要求：投标人须提供投标截止日期前近半年内任意一次缴纳税收的   完税凭证和近半年内任意一次缴纳社保凭证（含项目班子成员明细）。投标人具   备第三方出具的2025年度财务审计报告；   4、与招标人存在利害关系可能影响招标公正性的法人、其他组织或者个人   ，不得参加投标。单位负责人为同一人或者存在控股、管理关系的不同单位，   不得参加同一标段投标或者未划分标段的同一招标项目投标。   5、本项目 不允许 联合体投标；   6、资格审查方式：本次招标采用资格后审方式。   四、,https://prec.sxzwfw.gov.cn/jyxxgczb/1057367.jhtml,暂无,山西一建集团有限公司、中铁十八局集团第三工程有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064836.jhtml,暂无,暂无,暂无,长治市天晚集路等27条路雨污分流改造工程（第二标段）施工项目招标控制价|https://prec.sxzwfw.gov.cn/jyxxgczb/1057368.jhtml；长治市天晚集路等27条路雨污分流改造工程（第二标段）施工项目招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1057367.jhtml
国道338线原平西镇至段家堡段（庙岭梁桥隧群）改线工程中心试验室试验检测服务项目项目(1标段),忻州市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,国阳工程咨询有限责任公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064819.jhtml,暂无,暂无,暂无,暂无
2026年口袋公园工程,太原市,2602-140181-89-01-473681,房屋市政,施工,古交市园林绿化中心,委托发布,山西省古交市,建设规模及内容：主要包括九处口袋公园，分别为自来水口袋公园、义学路口袋公园、杨家坡口袋公园、广播局口袋公园、西曲宾馆口袋公园、火车站口袋公园、三岔口小峪沟社区口袋公园、东圣门口袋公园、红梁山口袋公园，总用地面积11020㎡，其中绿化种植面积8184㎡，硬化铺装面积3565㎡。建设内容主要包括土方、绿化种植、硬化铺装、户外小品、给排水工程、弱电及照明工程、配套设施等。,819.96（万元）,公开招标,古交市住房和城乡建设局,山西广联咨询有限公司,2026/05/21,2026年05月21日17时00分 - 2026年05月27日17时00分4.2获取方法：登录《全国公共资源交易平台（山西省太原市）》（ggzy.xzspglj,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1057065.jhtml,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064792.jhtml,暂无,暂无,暂无,2026年口袋公园工程|https://prec.sxzwfw.gov.cn/jyxxzbjh/1047529.jhtml；2026年口袋公园工程招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1057065.jhtml
安泽县2025年中央财政林业草原改革发展资金（其他国土绿化）调整项目森林抚育四标段,临汾市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,山西拓诚建筑工程有限公司、山西宏悦建筑有限公司、焦作市筑城建筑有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064625.jhtml,暂无,暂无,暂无,暂无
安泽县2025年中央财政林业草原改革发展资金（其他国土绿化）调整项目森林抚育二标段,临汾市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,山西浩亮建设工程有限公司、山西启福建设有限公司、河南泽洲建设有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064624.jhtml,暂无,暂无,暂无,暂无
安泽县2025年中央财政其他国土绿化项目（退化林修复）一标段,临汾市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,山西冠锦园林绿化工程有限公司、山西咏航建设工程有限公司、山西中弘达建设工程有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064623.jhtml,暂无,暂无,暂无,暂无
安泽县2025年中央财政林业草原改革发展资金（其他国土绿化）调整项目森林抚育三标段,临汾市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,山西万博源建筑工程有限公司、山西中旭工程有限公司、山西海明建筑工程有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064622.jhtml,暂无,暂无,暂无,暂无
洪洞县城区供水管网漏损治理和老化更新改造工程项目施工,临汾市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/08,电子招标文件获取时间:2026年5月9日00时00分至2026年5月14日23时59分,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1051947.jhtml,https://prec.sxzwfw.gov.cn/jyxxgcgz/1059714.jhtml,山西一建集团有限公司、山西四建集团有限公司、山西建筑工程集团有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064621.jhtml,暂无,暂无,暂无,洪洞县城区供水管网漏损治理和老化更新改造工程项目施工招标控制价公示|https://prec.sxzwfw.gov.cn/jyxxgczb/1059838.jhtml；洪洞县城区供水管网漏损治理和老化更新改造工程项目施工招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1051947.jhtml；洪洞县城区供水管网漏损治理和老化更新改造工程项目施工变更及延期公告|https://prec.sxzwfw.gov.cn/jyxxgcgz/1059714.jhtml
安泽县2025年中央财政其他国土绿化项目（退化林修复）二标段,临汾市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,山西中天立达建设工程有限公司、山西中誉建工集团有限公司、山西博硕建设发展有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064617.jhtml,暂无,暂无,暂无,暂无
安泽县2025年中央财政林业草原改革发展资金（其他国土绿化）调整项目森林抚育一标段,临汾市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,山西晟宇承建筑工程有限公司、河南华隆建设工程有限公司、正飞建设有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064616.jhtml,暂无,暂无,暂无,暂无
晋能控股集团有限公司潘家窑煤矿项目选煤厂初步设计,山西省本级,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/15,2026-05-15 18:00至2026-05-20 18:00,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1055446.jhtml,https://prec.sxzwfw.gov.cn/jyxxgcgz/1062323.jhtml,暂无,https://prec.sxzwfw.gov.cn/jyxxgchxr/1063965.jhtml,暂无,https://prec.sxzwfw.gov.cn/jyxxgcgs/1065086.jhtml,暂无,晋能控股集团有限公司潘家窑煤矿项目选煤厂初步设计招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1055446.jhtml；晋能控股集团有限公司潘家窑煤矿项目选煤厂初步设计招标延期公告|https://prec.sxzwfw.gov.cn/jyxxgcgz/1062323.jhtml；晋能控股集团有限公司潘家窑煤矿项目选煤厂初步设计中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1063965.jhtml
永济市2025年县乡公路(张风线-祁家巷线)改建工程,运城市,2506-140881-89-01-288754,交通,施工,永济市交通运输局,自主发布,项目位于永济市韩阳镇。其中，路线一起点位于祁家巷东北侧，接张风线交叉路口铁路下穿涵洞引道，终点接涑水河公路交叉路口；路线二起点接涑水河公路，终点接现有道路。,"项目全长5.904km，路线一长度4.308km，其中利用段长 0.316km;路线二长 1.596km。
本项目K0+628~K0+803、K3+766~K3+943路段路基宽度为5米,路面宽度为4米,采用四级公路技术标准,设计速度20km/h,采用沥青混凝土路面:其余路段路基宽度为7.5米，路面宽度为6.5米，采用三级公路技术标准，设计速度 30km/h，采用沥青混凝土路面。
建设内容:路基工程、路面工程、交叉工程、交安工程、桥涵工程等。",1040.00（万元）,公开招标,运城市交通运输局,永济市交通运输局,2026/04/29,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1050380.jhtml,https://prec.sxzwfw.gov.cn/jyxxgcgz/1062141.jhtml,山西恒源路桥建设有限公司、国吉建设工程有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1063847.jhtml,山西恒源路桥建设有限公司,https://prec.sxzwfw.gov.cn/jyxxgcgs/1065077.jhtml,暂无,永济市2025年县乡公路(张风线-祁家巷线)改建工程|https://prec.sxzwfw.gov.cn/jyxxzbjh/1010742.jhtml；永济市2025年县乡公路(张风线-祁家巷线)改建工程招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1050380.jhtml；永济市2025年县乡公路(张风线-祁家巷线)改建工程变更公告|https://prec.sxzwfw.gov.cn/jyxxgcgz/1062141.jhtml；永济市2025年县乡公路(张风线-祁家巷线)改建工程中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1063847.jhtml
山西华阳集团新能股份有限公司一矿阎家庄进风立井井筒功能变更项目监理,山西省本级,2510-140311-89-05-915556,能源,监理,山西华阳集团新能股份有限公司一矿,委托发布,山西省阳泉市郊区,对阎家庄进风立井井筒功能变更项目进行监理,271.54（万元）,公开招标,阳泉市郊区能源局,山西嘉盛招标代理有限公司,2026/04/24,2026-4-24  18:00 至2026-4-30 18:00（北京时间）,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1048894.jhtml,暂无,山西诚正建设监理咨询有限公司、山西昊圣建设工程项目管理有限责任公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1055489.jhtml,山西诚正建设监理咨询有限公司,https://prec.sxzwfw.gov.cn/jyxxgcgs/1065072.jhtml,暂无,山西华阳集团新能股份有限公司一矿阎家庄进风立井井筒功能变更项目监理|https://prec.sxzwfw.gov.cn/jyxxzbjh/1041464.jhtml；山西华阳集团新能股份有限公司一矿阎家庄进风立井井筒功能变更项目监理招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1048894.jhtml；山西华阳集团新能股份有限公司一矿阎家庄进风立井井筒功能变更项目监理中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1055489.jhtml
青银国家高速公路旧关至太原（晋冀界至寿阳蔡庄）段改扩建工程超高压电力迁改工程设计施工总承包,山西省本级,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/18,2026年5月18日18时00分至2026年5月25日18时00分（北京时间，下同，法定公休日、法定节假日休息）,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1055886.jhtml,暂无,联合体牵头人：中国能源建设集团山西省电力勘测设计院有限公司联合体成员：山西兴电电力工程有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1063547.jhtml,联合牵头人：中国能源建设集团山西省电力勘测设计院有限公司,https://prec.sxzwfw.gov.cn/jyxxgcgs/1065071.jhtml,暂无,青银国家高速公路旧关至太原（晋冀界至寿阳蔡庄）段改扩建工程超高压电力迁改工程设计施工总承包招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1055886.jhtml；青银国家高速公路旧关至太原（晋冀界至寿阳蔡庄）段改扩建工程超高压电力迁改工程设计施工总承包中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1063547.jhtml
山西省公路交通基础设施数字化转型升级项目（交投集团建设部分）监理服务二次招标,山西省本级,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/19,2026年5月19日18时00分至2026年5月26日18时00分（北京时间，下同，法定公休日、法定节假日休息）,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1056274.jhtml,暂无,山西兴路交通工程监理技术咨询有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1063625.jhtml,山西兴路交通工程监理技术咨询有限公司,https://prec.sxzwfw.gov.cn/jyxxgcgs/1065046.jhtml,暂无,山西省公路交通基础设施数字化转型升级项目（交投集团建设部分）监理服务二次招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1056274.jhtml；山西省公路交通基础设施数字化转型升级项目（交投集团建设部分）监理服务二次招标中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1063625.jhtml
沁水县山泽水库供水工程勘察设计项目,山西省本级,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/21,2026年05月21日18时00分至2026年05月26日18时00分 （法定公休日、法定节假日不休息） 4.2 获取方法：通过山西新点交易平台（http://,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1057052.jhtml,暂无,水发规划设计有限公司、山东新汇建设集团有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064389.jhtml,暂无,https://prec.sxzwfw.gov.cn/jyxxgcgs/1065045.jhtml,暂无,沁水县山泽水库供水工程勘察设计项目招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1057052.jhtml；沁水县山泽水库供水工程勘察设计项目中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1064389.jhtml
新建西铭回迁安置房城中村改造工程项目施工一标段电梯采购,山西省本级,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/21,2026年5月21日18时00分至2026年5月26日18时00分 （北京时间），法定公休日、法定节假日正常工作,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1056939.jhtml,暂无,山西美奥电梯工程有限公司、怡达快速电梯有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064052.jhtml,山西美奥电梯工程有限公司,https://prec.sxzwfw.gov.cn/jyxxgcgs/1065044.jhtml,暂无,新建西铭回迁安置房城中村改造工程项目施工一标段电梯采购招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1056939.jhtml；新建西铭回迁安置房城中村改造工程项目施工一标段电梯采购中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1064052.jhtml
建成区雨污合流制管网改造工程（第二批）施工九标段,太原市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/18,2026年05月18日17时00分至结束时间2026年05月25日17时00分,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1055835.jhtml,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgchxr/1063593.jhtml,太原市政建设集团有限公司,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064984.jhtml,暂无,建成区雨污合流制管网改造工程（第二批）施工九标段招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1055835.jhtml；建成区雨污合流制管网改造工程（第二批）施工九标段|https://prec.sxzwfw.gov.cn/jyxxgchxr/1063593.jhtml
建成区雨污合流制管网改造工程（第二批）施工八标段,太原市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/18,2026年05月18日17时00分至2026年05月25日17时00分,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1055833.jhtml,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgchxr/1063600.jhtml,太原市第一建筑工程集团有限公司,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064983.jhtml,暂无,建成区雨污合流制管网改造工程（第二批）施工八标段招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1055833.jhtml；建成区雨污合流制管网改造工程（第二批）施工八标段|https://prec.sxzwfw.gov.cn/jyxxgchxr/1063600.jhtml
建成区雨污合流制管网改造工程（第二批）监理六标段,太原市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/15,2026年05月15日19时30分至2026年05月21日19时30分,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1055492.jhtml,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgchxr/1063454.jhtml,山西圣业全过程咨询有限公司,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064982.jhtml,暂无,建成区雨污合流制管网改造工程（第二批）监理六标段招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1055492.jhtml；建成区雨污合流制管网改造工程（第二批）监理六标段|https://prec.sxzwfw.gov.cn/jyxxgchxr/1063454.jhtml
建成区雨污合流制管网改造工程（第二批）恒山路涉铁项目,太原市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/15,2026年05月15日19时30分至2026年05月21日19时30分,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1055493.jhtml,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgchxr/1063498.jhtml,中铁六局集团太原铁建天和工程有限公司,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064968.jhtml,暂无,建成区雨污合流制管网改造工程（第二批）恒山路涉铁项目招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1055493.jhtml；建成区雨污合流制管网改造工程（第二批）恒山路涉铁项目|https://prec.sxzwfw.gov.cn/jyxxgchxr/1063498.jhtml；建成区雨污合流制管网改造工程（第二批）恒山路涉铁项目|https://prec.sxzwfw.gov.cn/jyxxgchxr/1063456.jhtml
阳城县城市更新四片区(南关、东关、卧庄、鸣凤)综合改造工程岩土勘察工程,山西省本级,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/15,2026年5月15日18时00分至2026年5月20日18时00分（北京时间，法定节假日、公休日正常获取文件）；4.2获取方式：通过登录“金蝉电子招标投标综合交,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1055442.jhtml,暂无,山西省建筑科学研究院集团有限公司、太原市建筑设计研究院,https://prec.sxzwfw.gov.cn/jyxxgchxr/1063229.jhtml,山西省建筑科学研究院集团有限公司,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064967.jhtml,暂无,阳城县城市更新四片区(南关、东关、卧庄、鸣凤)综合改造工程岩土勘察工程招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1055442.jhtml；阳城县城市更新四片区(南关、东关、卧庄、鸣凤)综合改造工程岩土勘察工程中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1063229.jhtml
阳城县城市更新四片区(南关、东关、卧庄、鸣凤)综合改造工程初步设计编制服务,山西省本级,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/15,2026年5月15日18时00分至2026年5月20日18时00分（北京时间，法定节假日、公休日正常获取文件）；4.2获取方式：通过登录“金蝉电子招标投标综合交,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1055441.jhtml,暂无,晋城合为规划设计集团有限公司、中铁工程设计咨询集团有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1063597.jhtml,晋城合为规划设计集团有限公司,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064966.jhtml,暂无,阳城县城市更新四片区(南关、东关、卧庄、鸣凤)综合改造工程初步设计编制服务招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1055441.jhtml；阳城县城市更新四片区(南关、东关、卧庄、鸣凤)综合改造工程初步设计编制服务中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1063597.jhtml
大同市平城区、云冈区供热设备设施更新改造项目设备采购(2标段),大同市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/15,2026-05-15 17:00   --     2026-05-20 17:00,002大同市平城区、云冈区供热设备设施更新改造项目设备采购第十二标段: 3.1要求具有中华人民共和国境内独立法人资格的生产厂家或具有中华人民共和国境内独立法人资格的经销商（经销商需提供设备生产厂家对本项目的唯一授权）；3.2与招标人存在利害关系可能影响招标公正性的法人、其他组织或者个人，不得参加投标：单位负责人为同一人或者存在控股、管理关系的不同单位，不得参加同一标段投标或者未划分标段的同一招标项目投标； 本标段                 不允许             联合体投标。 四、,https://prec.sxzwfw.gov.cn/jyxxgczb/1055418.jhtml,暂无,北京圣源宝丰节能科技发展有限公司、北京德安源环境科技发展有限公司、北京高语科技有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1063543.jhtml,北京圣源宝丰节能科技发展有限公司,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064961.jhtml,暂无,大同市平城区、云冈区供热设备设施更新改造项目设备采购(2标段)招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1055418.jhtml；大同市平城区、云冈区供热设备设施更新改造项目设备采购(2标段)招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1047112.jhtml；大同市平城区、云冈区供热设备设施更新改造项目设备采购(2标段)中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1063543.jhtml；大同市平城区、云冈区供热设备设施更新改造项目设备采购(2标段)中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1059605.jhtml
吕梁新区医疗卫生园区人行天桥建设项目施工,吕梁市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/15,2026年 5月 15日 17时 00分至 2026年 6月 5日 10时 00分,3.1本次招标要求投标人须具备市政公用工程施工总承包二级及以上资质，有效的   营业执照，并在人员、设备、资金等方面具有相应的施工能力，其中：投标人拟派项   目经理须具备市政公用工程专业二级注册建造师执业资格，具备有效的安全生产考核   合格证，且未担任其他在施建设工程项目的项目经理；   3.2单位负责人为同一人或者存在控股、管理关系的不同单位，不得同时对本项目   提出投标申请，否则投标无效；   3.3 投标人、法定代表人和拟派项目经理近三年内无行贿犯罪记录；   3.4 投标人未被列入失信被执行人名单；   3.5 本次招标不接受联合体投标。   四、,https://prec.sxzwfw.gov.cn/jyxxgczb/1054896.jhtml,https://prec.sxzwfw.gov.cn/jyxxgcgz/1060763.jhtml,山西钢构科工有限公司、山西省安装集团股份有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1062792.jhtml,暂无,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064948.jhtml,暂无,吕梁新区医疗卫生园区人行天桥建设项目施工招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1054896.jhtml；吕梁新区医疗卫生园区人行天桥建设项目施工招标控制价|https://prec.sxzwfw.gov.cn/jyxxgczb/1054895.jhtml；吕梁新区医疗卫生园区人行天桥建设项目施工招标澄清答疑|https://prec.sxzwfw.gov.cn/jyxxgcgz/1060763.jhtml；吕梁新区医疗卫生园区人行天桥建设项目施工中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1062792.jhtml
车赶煤炭运销有限公司集运站项目电气施工监理二次,山西省本级,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,山西臻恒工程项目管理有限公司、山西电通项目管理咨询有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1063691.jhtml,山西臻恒工程项目管理有限公司,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064933.jhtml,暂无,车赶煤炭运销有限公司集运站项目电气施工监理二次中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1063691.jhtml
瑞志桥建设项目EPC总承包,山西省本级,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/09,2026年5月9日17：00至2026年5月14日17：00（北京时间）；2、招标文件获取方式：投标人凭 CA 数字证书登陆金蝉电子招标投标综合交易平台（htt,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1052393.jhtml,暂无,晋城市建工集团有限公司（联合体成员：同济大学建筑设计研究院（集团）有限公司）、万发鑫源建设有限公司（联合体成员：悉地（苏州）勘察设计顾问有限公司）,https://prec.sxzwfw.gov.cn/jyxxgchxr/1063849.jhtml,晋城市建工集团有限公司(联合体成员：同济大学建筑设计研究院（集团）有限公司,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064932.jhtml,暂无,瑞志桥建设项目EPC总承包招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1052393.jhtml；瑞志桥建设项目EPC总承包中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1063849.jhtml
晋中市松塔水库供水（二期）工程施工04标,晋中市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/04/28,2026-04-28 21:00至2026-05-08 21:00获取方法：凡有意参加投标者，请于上述时间内，通过互联网使用CA数字证书登录晋中市公共资源交易平,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1049750.jhtml,https://prec.sxzwfw.gov.cn/jyxxgcgz/1057343.jhtml,晋中市水投建设工程有限公司、国淏建设有限公司、吉锐建设集团有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1063873.jhtml,暂无,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064916.jhtml,暂无,晋中市松塔水库供水（二期）工程施工04标招标延期公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1056516.jhtml；晋中市松塔水库供水（二期）工程施工04标招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1049750.jhtml；晋中市松塔水库供水（二期）工程施工04标招标变更公告|https://prec.sxzwfw.gov.cn/jyxxgcgz/1057343.jhtml；晋中市松塔水库供水（二期）工程施工04标中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1063873.jhtml
